#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-01-29 11:35:02 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04045500 TAHQUAMENON RIVER NEAR PARADISE, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		70273	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04045500	00060	70273	1969	3	651.3
USGS	04045500	00060	70273	1969	4	3519
USGS	04045500	00060	70273	1969	5	2311
USGS	04045500	00060	70273	1969	6	1024
USGS	04045500	00060	70273	1969	7	956.7
USGS	04045500	00060	70273	1969	8	368.7
USGS	04045500	00060	70273	1969	9	334.4
USGS	04045500	00060	70273	1969	10	1084
USGS	04045500	00060	70273	1969	11	945.6
USGS	04045500	00060	70273	1969	12	557.6
USGS	04045500	00060	70273	1970	1	394.0
USGS	04045500	00060	70273	1970	2	400.8
USGS	04045500	00060	70273	1970	3	496.5
USGS	04045500	00060	70273	1970	4	2037
USGS	04045500	00060	70273	1970	5	1504
USGS	04045500	00060	70273	1970	6	1326
USGS	04045500	00060	70273	1970	7	696.7
USGS	04045500	00060	70273	1970	8	528.4
USGS	04045500	00060	70273	1970	9	1623
USGS	04045500	00060	70273	1970	10	1558
USGS	04045500	00060	70273	1970	11	1358
USGS	04045500	00060	70273	1970	12	1331
USGS	04045500	00060	70273	1971	1	550.6
USGS	04045500	00060	70273	1971	2	554.7
USGS	04045500	00060	70273	1971	3	916.2
USGS	04045500	00060	70273	1971	4	3560
USGS	04045500	00060	70273	1971	5	3007
USGS	04045500	00060	70273	1971	6	1000
USGS	04045500	00060	70273	1971	7	578.7
USGS	04045500	00060	70273	1971	8	548.8
USGS	04045500	00060	70273	1971	9	534.9
USGS	04045500	00060	70273	1971	10	917.7
USGS	04045500	00060	70273	1971	11	1069
USGS	04045500	00060	70273	1971	12	912.3
USGS	04045500	00060	70273	1972	1	562.7
USGS	04045500	00060	70273	1972	2	498.7
USGS	04045500	00060	70273	1972	3	542.6
USGS	04045500	00060	70273	1972	4	1948
USGS	04045500	00060	70273	1972	5	3772
USGS	04045500	00060	70273	1972	6	513.6
USGS	04045500	00060	70273	1972	7	423.2
USGS	04045500	00060	70273	1972	8	662.3
USGS	04045500	00060	70273	1972	9	614.2
USGS	04045500	00060	70273	1972	10	688.5
USGS	04045500	00060	70273	1972	11	943.0
USGS	04045500	00060	70273	1972	12	441.9
USGS	04045500	00060	70273	1973	1	620.5
USGS	04045500	00060	70273	1973	2	546.9
USGS	04045500	00060	70273	1973	3	1710
USGS	04045500	00060	70273	1973	4	1702
USGS	04045500	00060	70273	1973	5	1480
USGS	04045500	00060	70273	1973	6	847.1
USGS	04045500	00060	70273	1973	7	848.3
USGS	04045500	00060	70273	1973	8	1126
USGS	04045500	00060	70273	1973	9	400.7
USGS	04045500	00060	70273	1973	10	572.4
USGS	04045500	00060	70273	1973	11	884.4
USGS	04045500	00060	70273	1973	12	765.0
USGS	04045500	00060	70273	1974	1	342.5
USGS	04045500	00060	70273	1974	2	344.8
USGS	04045500	00060	70273	1974	3	569.6
USGS	04045500	00060	70273	1974	4	2693
USGS	04045500	00060	70273	1974	5	1540
USGS	04045500	00060	70273	1974	6	1736
USGS	04045500	00060	70273	1974	7	464.5
USGS	04045500	00060	70273	1974	8	620.7
USGS	04045500	00060	70273	1974	9	997.2
USGS	04045500	00060	70273	1974	10	805.4
USGS	04045500	00060	70273	1974	11	1243
USGS	04045500	00060	70273	1974	12	602.7
USGS	04045500	00060	70273	1975	1	634.8
USGS	04045500	00060	70273	1975	2	484.4
USGS	04045500	00060	70273	1975	3	588.5
USGS	04045500	00060	70273	1975	4	1846
USGS	04045500	00060	70273	1975	5	2463
USGS	04045500	00060	70273	1975	6	1010
USGS	04045500	00060	70273	1975	7	385.7
USGS	04045500	00060	70273	1975	8	318.3
USGS	04045500	00060	70273	1975	9	991.4
USGS	04045500	00060	70273	1975	10	433.2
USGS	04045500	00060	70273	1975	11	1054
USGS	04045500	00060	70273	1975	12	1083
USGS	04045500	00060	70273	1976	1	445.3
USGS	04045500	00060	70273	1976	2	403.7
USGS	04045500	00060	70273	1976	3	821.9
USGS	04045500	00060	70273	1976	4	4575
USGS	04045500	00060	70273	1976	5	1128
USGS	04045500	00060	70273	1976	6	341.3
USGS	04045500	00060	70273	1976	7	289.0
USGS	04045500	00060	70273	1976	8	255.3
USGS	04045500	00060	70273	1976	9	258.1
USGS	04045500	00060	70273	1976	10	371.9
USGS	04045500	00060	70273	1976	11	419.9
USGS	04045500	00060	70273	1976	12	338.9
USGS	04045500	00060	70273	1977	1	332.6
USGS	04045500	00060	70273	1977	2	366.3
USGS	04045500	00060	70273	1977	3	1196
USGS	04045500	00060	70273	1977	4	4333
USGS	04045500	00060	70273	1977	5	1303
